Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Dan Ruland,Philadelphia 76ers,James Madison,1983,3,23,70
Darrell Browder,Houston Rockets,Texas Christian,1983,4,1,71
Terry Fair,Indiana Pacers,Georgia,1983,4,2,72
Dwight Jones,Cleveland Cavaliers,Cincinnati,1983,4,3,73
Kalpatrick Wells,Philadelphia 76ers,Mississippi State,1983,4,4,74
Ron Crevier ,Chicago Bulls,Boston College,1983,4,5,75
Doug Arnold,Utah Jazz,Texas Christian,1983,4,6,76
Peter Thibeaux ,Golden State Warriors,St. Mary's (CA),1983,4,7,77
Steve Bouchie,Detroit Pistons,Indiana,1983,4,8,78
Johnny Martin,Dallas Mavericks,Northwestern State,1983,4,9,79
Dan Gay,Washington Bullets,Louisiana-Lafayette,1983,4,10,80
Harry Kelley,Atlanta Hawks,Texas Southern,1983,4,11,81
Mark Jones ,New York Knicks,St. Bonaventure,1983,4,12,82
York Gross,Denver Nuggets,California-Santa Barbara,1983,4,13,83
Mike Jackson,Kansas City Kings,Wyoming,1983,4,14,84
Tim Dunham,Portland Trail Blazers,Chaminade,1983,4,15,85
Pete DeBisschop,Seattle SuperSonics,Fairfield,1983,4,16,86
Barney Mines,New Jersey Nets,Bradley,1983,4,17,87
Mark Nickens,Milwaukee Bucks,American,1983,4,18,88
Sam Mosley,Phoenix Suns,Nevada-Reno,1983,4,19,89
Brant Weidner ,San Antonio Spurs,William & Mary,1983,4,20,90
Carlos Clark ,Boston Celtics,Mississippi,1983,4,21,91
Terry Lewis,Los Angeles Lakers,Mississippi State,1983,4,22,92
Craig Robinson,Philadelphia 76ers,Princeton,1983,4,23,93
Chuck Barnett,Houston Rockets,Oklahoma,1983,5,1,94
Roger Stieg,Indiana Pacers,Mississippi,1983,5,2,95
Chris Logan,Cleveland Cavaliers,Holy Cross,1983,5,3,96
Manute Bol ,San Diego Clippers,Bridgeport,1983,5,4,97
Tim Andree,Chicago Bulls,Notre Dame,1983,5,5,98
Greg Hines,Golden State Warriors,Hampton,1983,5,6,99
Matt Clark,Utah Jazz,Oklahoma,1983,5,7,100
Ken Austin ,Detroit Pistons,Rice,1983,5,8,101
Jim Lampley ,Dallas Mavericks,Arkansas-Little Rock,1983,5,9,102
Robin Dixon,Washington Bullets,New Hampshire,1983,5,10,103
Charles Jones,Atlanta Hawks,Oklahoma,1983,5,11,104
Troy Lee Mikell,New York Knicks,East Tennessee State,1983,5,12,105
Lorenza Andrews,Kansas City Kings,Oklahoma State,1983,5,13,106
James Braddock,Denver Nuggets,North Carolina,1983,5,14,107
Gary Monroe,Portland Trail Blazers,Wright State,1983,5,15,108
Brad Watson,Seattle SuperSonics,Washington,1983,5,16,109
Tyren Naulls,New Jersey Nets,Texas A&M,1983,5,17,110
Mark Petteway,Milwaukee Bucks,New Orleans,1983,5,18,111
Jeff Pehl,San Antonio Spurs,Richmond,1983,5,19,112
Rick Lamb,Phoenix Suns,Illinois State,1983,5,20,113
Bob Reitz,Boston Celtics,Stonehill,1983,5,21,114
Danny Dixon,Los Angeles Lakers,Alabama A&M,1983,5,22,115
Mike Milligan,Philadelphia 76ers,Tennessee State,1983,5,23,116
Jim Stack,Houston Rockets,Northwestern,1983,6,1,117
Cliff Pruitt,Indiana Pacers,Alabama-Birmingham,1983,6,2,118
Mel McLaughlin,Cleveland Cavaliers,Central Michigan,1983,6,3,119
Russell Todd,Milwaukee Bucks,West Virginia,1983,6,4,120
Ernest Patterson,Chicago Bulls,New Mexico State,1983,6,5,121
Fred Gilliam,Utah Jazz,Clemson,1983,6,6,122
Tom Heywood,Golden State Warriors,Weber State,1983,6,7,123
Derek Perry,Detroit Pistons,Michigan State,1983,6,8,124
Billy Allen,Dallas Mavericks,Nevada-Reno,1983,6,9,125
Donald Carroll,Washington Bullets,Saint Augustine's,1983,6,10,126
Tom Bethea,Atlanta Hawks,Richmond,1983,6,11,127
Tony Simms,New York Knicks,Boston University,1983,6,12,128
Glenn Green,Denver Nuggets,Murray State,1983,6,13,129
Alvis Rogers,Kansas City Kings,Wake Forest,1983,6,14,130
Derrick Pope,Portland Trail Blazers,Montana,1983,6,15,131
Tony Wilson,Seattle SuperSonics,Western Kentucky,1983,6,16,132
Oscar Taylor,New Jersey Nets,New Orleans,1983,6,17,133
Charles Hurt,Milwaukee Bucks,Kentucky,1983,6,18,134
Edward Bona,Phoenix Suns,Fordham,1983,6,19,135
Ricky Hooker,San Antonio Spurs,St. Mary's (TX),1983,6,20,136
Paul Atkins,Boston Celtics,Houston Baptist,1983,6,21,137
Mark Steele,Los Angeles Lakers,Colorado State,1983,6,22,138
Sedale Threatt ,Philadelphia 76ers,West Virginia Tech,1983,6,23,139
Brian Kellerman,Houston Rockets,Idaho,1983,7,1,140
Tony Brown,Indiana Pacers,Indiana,1983,7,2,141
John Columbo,Cleveland Cavaliers,John Carroll,1983,7,3,142
Dan Evans,San Diego Clippers,Oregon State,1983,7,4,143
Jacque Hill,Chicago Bulls,Southern California,1983,7,5,144
Peter Williams,Golden State Warriors,Utah,1983,7,6,145
Joe Kazanowski,Utah Jazz,Victoria (CAN),1983,7,7,146
Rob Gonzalez,Detroit Pistons,Colorado,1983,7,8,147
Terrell Schlundt,Dallas Mavericks,Marquette,1983,7,9,148
Danny Womack,Washington Bullets,Winston-Salem State,1983,7,10,149
Lex Drum,Atlanta Hawks,Alabama-Birmingham,1983,7,11,150
Desi Barimore,New York Knicks,Fresno State,1983,7,12,151
Dane Suttle ,Kansas City Kings,Pepperdine,1983,7,13,152
Maurice McDaniel,Denver Nuggets,Catawba,1983,7,14,153
Paul Little,Portland Trail Blazers,Pennsylvania,1983,7,15,154
Tony Gattis,Seattle SuperSonics,Mercer,1983,7,16,155
Keith Bennett,New Jersey Nets,Sacred Heart,1983,7,17,156
Anthony Hicks,Milwaukee Bucks,Xavier,1983,7,18,157
Keith Williams,San Antonio Spurs,Oklahoma Panhandle,1983,7,19,158
Fred Brown,Phoenix Suns,Virginia Commonwealth,1983,7,20,159
Ron Jackson,Boston Celtics,Providence,1983,7,21,160
Ricky Mixon,Los Angeles Lakers,Cal State-Fullerton,1983,7,22,161
Tony Bruin,Philadelphia 76ers,Syracuse,1983,7,23,162
Jeff Bolding,Houston Rockets,Arkansas State,1983,8,1,163
Ray McCallum,Indiana Pacers,Ball State,1983,8,2,164
Larry Tucker,Cleveland Cavaliers,Lewis,1983,8,3,165
Mark Gannon,San Diego Clippers,Iowa,1983,8,4,166
Terry Bradley,Chicago Bulls,Chicago State,1983,8,5,167
Michael McCombs,Utah Jazz,Santa Fe,1983,8,6,168
Doug Harris,Golden State Warriors,Central Washington,1983,8,7,169
George Wenzel,Detroit Pistons,Augustana (IL),1983,8,8,170
Bill Sadler,Dallas Mavericks,Pepperdine,1983,8,9,171
Bernard Perry,Washington Bullets,Howard,1983,8,10,172
George Thomas,Atlanta Hawks,Georgia Tech,1983,8,11,173
Mike Lang,New York Knicks,Penn State,1983,8,12,174
Cliff Tribus,Denver Nuggets,Davidson,1983,8,13,175
Preston Neumayr,Kansas City Kings,California-Davis,1983,8,14,176
Frank Smith,Portland Trail Blazers,Arizona,1983,8,15,177
Ray Smith,Seattle SuperSonics,Armstrong,1983,8,16,178
Joe Myers,New Jersey Nets,Duquesne,1983,8,17,179
Brett Burkholder,Milwaukee Bucks,DePaul,1983,8,18,180
Mike Mulquin,Phoenix Suns,Villanova,1983,8,19,181
Norville Brown,San Antonio Spurs,Oklahoma Christian,1983,8,20,182
Trent Johnson,Boston Celtics,Pittsburgh,1983,8,21,183
Gordon Austin,Philadelphia 76ers,American,1983,8,22,184
James Campbell,Houston Rockets,Oklahoma City,1983,9,1,185
Lynn Mitchem,Indiana Pacers,Butler,1983,9,2,186
Joe Brown,Cleveland Cavaliers,Georgia State,1983,9,3,187
David Maxwell,San Diego Clippers,Fordham,1983,9,4,188
Ray Orange,Chicago Bulls,Oklahoma Christian,1983,9,5,189
Greg Goorjiam,Golden State Warriors,Loyola-Marymount,1983,9,6,190
Ron Webb,Utah Jazz,Oklahoma Christian,1983,9,7,191
Marlow McLain,Detroit Pistons,Eastern Michigan,1983,9,8,192
Sherrod Arnold,Dallas Mavericks,Chicago State,1983,9,9,193
Ricky Moreland,Washington Bullets,Baltimore,1983,9,10,194
Wil Kotchery,Atlanta Hawks,West Alabama,1983,9,11,195
Charles Jones,New York Knicks,Marshall,1983,9,12,196
Bernard Hill,Kansas City Kings,Oklahoma Panhandle,1983,9,13,197
Bobby Van Noy,Denver Nuggets,Catawba,1983,9,14,198
Phil Hopson,Portland Trail Blazers,Idaho,1983,9,15,199
Tony Washington,Seattle SuperSonics,Hampton,1983,9,16,200
Kevin Black,New Jersey Nets,Rutgers,1983,9,17,201
Bill Varner,Milwaukee Bucks,Notre Dame,1983,9,18,202
Gary Gaspard,San Antonio Spurs,St. Mary's (TX),1983,9,19,203
Joe Dykstra,Phoenix Suns,Western Illinois,1983,9,20,204
John Rice,Boston Celtics,Massachusetts Boston,1983,9,21,205
Charles Fisher,Philadelphia 76ers,James Madison,1983,9,22,206
Mark Smed,Indiana Pacers,Augustana (SD),1983,10,1,207
Jon Hanley,Cleveland Cavaliers,Xavier,1983,10,2,208
Keith Smith,San Diego Clippers,San Diego State,1983,10,3,209
Tom Emma,Chicago Bulls,Duke,1983,10,4,210
Odell Mosteller,Utah Jazz,Auburn,1983,10,5,211
Michael Zeno,Golden State Warriors,Long Beach State,1983,10,6,212
Ike Person,Detroit Pistons,Michigan,1983,10,7,213
Clyde Corley,Dallas Mavericks,Florida International,1983,10,8,214
Isiah Singletary,Washington Bullets,Saint Louis,1983,10,9,215
Ronnie Carr,Atlanta Hawks,Western Carolina,1983,10,10,216
Bernard Randolph,New York Knicks,DePaul,1983,10,11,217
Cleveland McCrae,Denver Nuggets,Catawba,1983,10,12,218
Aaron Haskins,Kansas City Kings,Washington State,1983,10,13,219
Russ Christianson,Portland Trail Blazers,Eastern Oregon,1983,10,14,220
David Binion,Seattle SuperSonics,North Carolina Central,1983,10,15,221
Rich Simkus,New Jersey Nets,Princeton,1983,10,16,222
Bob Kelly,Milwaukee Bucks,St. John's (NY),1983,10,17,223
Bo Overton,Phoenix Suns,Oklahoma,1983,10,18,224
Lamar Heard,San Antonio Spurs,Georgia,1983,10,19,225
Andy Kupec,Boston Celtics,Bentley,1983,10,20,226
James Worthy ,Los Angeles Lakers,North Carolina,1982,1,1,1
Terry Cummings ,San Diego Clippers,DePaul,1982,1,2,2
Dominique Wilkins ,Utah Jazz,Georgia,1982,1,3,3
Bill Garnett ,Dallas Mavericks,Wyoming,1982,1,4,4
LaSalle Thompson ,Kansas City Kings,Texas,1982,1,5,5
Trent Tucker ,New York Knicks,Minnesota,1982,1,6,6
Quintin Dailey ,Chicago Bulls,San Francisco,1982,1,7,7
Clark Kellogg ,Indiana Pacers,Ohio State,1982,1,8,8
Cliff Levingston ,Detroit Pistons,Wichita State,1982,1,9,9
Keith Edmonson ,Atlanta Hawks,Purdue,1982,1,10,10
Lafayette Lever ,Portland Trail Blazers,Arizona State,1982,1,11,11
John Bagley ,Cleveland Cavaliers,Boston College,1982,1,12,12
Sleepy Floyd ,New Jersey Nets,Georgetown,1982,1,13,13
Lester Conner ,Golden State Warriors,Oregon State,1982,1,14,14
David Thirdkill ,Phoenix Suns,Bradley,1982,1,15,15
Terry Teagle ,Houston Rockets,Baylor,1982,1,16,16
Brook Steppe ,Kansas City Kings,Georgia Tech,1982,1,17,17
Ricky Pierce ,Detroit Pistons,Rice,1982,1,18,18
Rob Williams ,Denver Nuggets,Houston,1982,1,19,19
Paul Pressey ,Milwaukee Bucks,Tulsa,1982,1,20,20
Eddie Phillips ,New Jersey Nets,Alabama,1982,1,21,21
Mark McNamara ,Philadelphia 76ers,California,1982,1,22,22
Darren Tillis ,Boston Celtics,Cleveland State,1982,1,23,23
Oliver Robinson ,San Antonio Spurs,Alabama-Birmingham,1982,2,1,24
Bryan Warrick ,Washington Bullets,Saint Joseph's,1982,2,2,25
Ricky Frazier,Chicago Bulls,Missouri,1982,2,3,26
Fred Roberts ,Milwaukee Bucks,Brigham Young,1982,2,4,27
Dave Magley ,Cleveland Cavaliers,Kansas,1982,2,5,28
Scott Hastings ,New York Knicks,Arkansas,1982,2,6,29
Wallace Bryant ,Chicago Bulls,San Francisco,1982,2,7,30
Rod Higgins ,Chicago Bulls,Fresno State,1982,2,8,31
Richard Anderson ,San Diego Clippers,California-Santa Barbara,1982,2,9,32
Linton Townes ,Portland Trail Blazers,James Madison,1982,2,10,33
Vince Taylor ,New York Knicks,Duke,1982,2,11,34
Derek Smith ,Golden State Warriors,Louisville,1982,2,12,35
Mitchell Anderson ,Philadelphia 76ers,Bradley,1982,2,13,36
Audie Norris ,Portland Trail Blazers,Jackson State,1982,2,14,37
Wayne Sappleton ,Golden State Warriors,Loyola-Chicago,1982,2,15,38
Kevin Magee,Phoenix Suns,California-Irvine,1982,2,16,39
Guy Morgan ,Indiana Pacers,Wake Forest,1982,2,17,40
Dwight Anderson ,Washington Bullets,Southern California,1982,2,18,41
Jeff Taylor ,Houston Rockets,Texas Tech,1982,2,19,42
Jose Slaughter ,Indiana Pacers,Portland,1982,2,20,43
Mike Gibson ,Washington Bullets,South Carolina Upstate,1982,2,21,44
Russ Schoene ,Philadelphia 76ers,Tennessee-Chattanooga,1982,2,22,45
Tony Guy,Boston Celtics,Kansas,1982,2,23,46
Mike Wilson ,Cleveland Cavaliers,Marquette,1982,3,1,47
Craig Hodges ,San Diego Clippers,Long Beach State,1982,3,2,48
Steve Trumbo,Utah Jazz,Brigham Young,1982,3,3,49
Corny Thompson ,Dallas Mavericks,Connecticut,1982,3,4,50
Jim Johnstone ,Kansas City Kings,Wake Forest,1982,3,5,51
Dan Caldwell,New York Knicks,Washington,1982,3,6,52
Tyrone Adams,Chicago Bulls,Kansas State,1982,3,7,53
Willie Jones ,Los Angeles Lakers,Vanderbilt,1982,3,8,54
Jerry Eaves ,Utah Jazz,Louisville,1982,3,9,55
Joe Kopicki ,Atlanta Hawks,Detroit Mercy,1982,3,10,56
Craig Tucker,New York Knicks,Illinois,1982,3,11,57
Mike Largey,Washington Bullets,Upsala,1982,3,12,58
Jimmy Black,New Jersey Nets,North Carolina,1982,3,13,59
Chris Engler ,Golden State Warriors,Wyoming,1982,3,14,60
Charlie Pittman ,Phoenix Suns,Maryland,1982,3,15,61
Roylin Bond,Denver Nuggets,Pepperdine,1982,3,16,62
Chuck Nevitt ,Houston Rockets,North Carolina State,1982,3,17,63
Willie Redden,San Antonio Spurs,South Florida,1982,3,18,64
John Greig ,Seattle SuperSonics,Oregon,1982,3,19,65
Phillip Lockett,Portland Trail Blazers,Alabama,1982,3,20,66
Mike Hackett,Los Angeles Lakers,Jacksonville,1982,3,21,67
Dale Solomon,Philadelphia 76ers,Virginia Tech,1982,3,22,68
Perry Moss ,Boston Celtics,Northeastern,1982,3,23,69
Reggie Hannah,Cleveland Cavaliers,South Alabama,1982,4,1,70
Darius Clemons,San Diego Clippers,Loyola-Chicago,1982,4,2,71
Mark Eaton ,Utah Jazz,California-Los Angeles,1982,4,3,72
Rudy Woods,Dallas Mavericks,Texas A&M,1982,4,4,73
Mike Sanders ,Kansas City Kings,California-Los Angeles,1982,4,5,74
Norm Anchrum,New York Knicks,Alabama-Birmingham,1982,4,6,75
Chuck Aleksinas ,Chicago Bulls,Connecticut,1982,4,7,76
Jeff Jones,Indiana Pacers,Virginia,1982,4,8,77
Walker Russell ,Detroit Pistons,Western Michigan,1982,4,9,78
Eric Smith,Portland Trail Blazers,Georgetown,1982,4,10,79
James Griffin,New Jersey Nets,Illinois,1982,4,11,80
Dino Gregory,Washington Bullets,Long Beach State,1982,4,12,81
Tony Brown ,New Jersey Nets,Arkansas,1982,4,13,82
Ken Stancell,Golden State Warriors,Virginia Commonwealth,1982,4,14,83
Alford Turner,Denver Nuggets,Louisiana-Lafayette,1982,4,15,84
Andre Gaddy,Houston Rockets,George Mason,1982,4,16,85
Rory White ,Phoenix Suns,South Alabama,1982,4,17,86
Tony Grier,San Antonio Spurs,South Florida,1982,4,18,87
Ken Owens,Seattle SuperSonics,Idaho,1982,4,19,88
Jerry Beck,Milwaukee Bucks,Middle Tennessee State,1982,4,20,89
Craig McCormick,Los Angeles Lakers,Western Kentucky,1982,4,21,90
Bruce Atkins,Philadelphia 76ers,Duquesne,1982,4,22,91
Greg Stewart,Boston Celtics,Tulsa,1982,4,23,92
Terry White,Cleveland Cavaliers,Texas-El Paso,1982,5,1,93
Gary Carter,San Diego Clippers,Tennessee,1982,5,2,94
Mike McKay,Utah Jazz,Connecticut,1982,5,3,95
Ken Arnold,Dallas Mavericks,Iowa,1982,5,4,96
Ken Simpson,Kansas City Kings,Grambling,1982,5,5,97
Aaron Howard,New York Knicks,Villanova,1982,5,6,98
Rubin Jackson,Chicago Bulls,Oklahoma City,1982,5,7,99
Rich DiBenedetto,Indiana Pacers,Wisconsin-Eau Claire,1982,5,8,100
John Ebeling,Detroit Pistons,Florida Southern,1982,5,9,101
Mark Hall,Atlanta Hawks,Minnesota,1982,5,10,102
Cherokee Rhone,Portland Trail Blazers,Centenary (LA),1982,5,11,103
Clarence Dickerson,Washington Bullets,Hawaii,1982,5,12,104
Chris Giles,New Jersey Nets,Alabama-Birmingham,1982,5,13,105
Albert Irving,Golden State Warriors,Alcorn State,1982,5,14,106
Jeff Schneider,Houston Rockets,Virginia Tech,1982,5,15,107
Marvin McCrary,Phoenix Suns,Missouri,1982,5,16,108
Bill Duffy,Denver Nuggets,Santa Clara,1982,5,17,109
Clarence Swannegan,San Antonio Spurs,Texas Tech,1982,5,18,110
Rod Camp,Seattle SuperSonics,Southern Illinois,1982,5,19,111
Jerry Davis,Washington Bullets,Detroit Mercy,1982,5,20,112
Howard McNeill,Los Angeles Lakers,Seton Hall,1982,5,21,113
Donald Mason,Philadelphia 76ers,Fresno State,1982,5,22,114
William Brown,Boston Celtics,St. Peter's,1982,5,23,115
Vince Reynolds,Cleveland Cavaliers,South Florida,1982,6,1,116
Eric Marbury,San Diego Clippers,Georgia,1982,6,2,117
Alvin Jackson,Utah Jazz,Southern University,1982,6,3,118
Wayne Waggoner,Dallas Mavericks,Northwestern State,1982,6,4,119
Poncho Wright,Kansas City Kings,Louisville,1982,6,5,120
Mike Kanieski,New York Knicks,Dayton,1982,6,6,121
B. B. Fontenet,Chicago Bulls,Nevada-Reno,1982,6,7,122
Jeff Clark,Indiana Pacers,Saint Joseph's,1982,6,8,123
Gary Holmes,Detroit Pistons,Minnesota,1982,6,9,124
Leo Cunningham,Portland Trail Blazers,Utah State,1982,6,10,125
Jay Bruchak,Atlanta Hawks,Mount St. Mary's,1982,6,11,126
Byron Williams,Washington Bullets,Idaho State,1982,6,12,127
Mel Daniel,New Jersey Nets,Furman,1982,6,13,128
David Vann,Golden State Warriors,St. Mary's (CA),1982,6,14,129
Jake Bethany,Phoenix Suns,Hardin-Simmons,1982,6,15,130
Chris Brust,Denver Nuggets,North Carolina,1982,6,16,131
Don Wilson,Houston Rockets,Louisiana-Monroe,1982,6,17,132
Jaime Pena,San Antonio Spurs,New Mexico State,1982,6,18,133
Bobby Potts,Seattle SuperSonics,North Carolina-Charlotte,1982,6,19,134
Tony Carr,Milwaukee Bucks,Wisconsin-Eau Claire,1982,6,20,135
Lynden Rose,Los Angeles Lakers,Houston,1982,6,21,136
Kevin Boyle,Philadelphia 76ers,Iowa,1982,6,22,137
John Schweitz ,Boston Celtics,Richmond,1982,6,23,138
Randy Reed,Cleveland Cavaliers,Kansas State,1982,7,1,139
Eddie Hughes ,San Diego Clippers,Colorado State,1982,7,2,140
Thad Gardner,Utah Jazz,Michigan,1982,7,3,141
Bob Grady,Dallas Mavericks,Northwestern,1982,7,4,142
Perry Range,Kansas City Kings,Illinois,1982,7,5,143
Phil Seymore,New York Knicks,Canisius,1982,7,6,144
Chuck Verderber,Chicago Bulls,Kentucky,1982,7,7,145
Brad Leaf,Indiana Pacers,Evansville,1982,7,8,146
Dean Marquardt,Detroit Pistons,Marquette,1982,7,9,147
Horace Wyatt,Atlanta Hawks,Clemson,1982,7,10,148
Terry Long,Portland Trail Blazers,Lamar,1982,7,11,149
Wendell Gibson,Washington Bullets,South Carolina,1982,7,12,150
Tony Anderson,New Jersey Nets,California-Los Angeles,1982,7,13,151
Matt Waldron,Golden State Warriors,Pacific,1982,7,14,152
Jeb Barlow,Denver Nuggets,North Carolina,1982,7,15,153
Mike Helms,Houston Rockets,Wake Forest,1982,7,16,154
Phil Ward,Phoenix Suns,North Carolina-Charlotte,1982,7,17,155
Delonte Taylor,San Antonio Spurs,North Texas,1982,7,18,156
Allen Rayhorn,Seattle SuperSonics,Northern Illinois,1982,7,19,157
Bobby Austin,Milwaukee Bucks,Cincinnati,1982,7,20,158
Maurice Williams,Los Angeles Lakers,Southern California,1982,7,21,159
Keith Hilliard,Philadelphia 76ers,Missouri State,1982,7,22,160
Phil Collins,Boston Celtics,West Virginia,1982,7,23,161
Monty Knight,Cleveland Cavaliers,Virginia Commonwealth,1982,8,1,162
Jacques Tuz,San Diego Clippers,Colorado,1982,8,2,163
Rick Campbell,Utah Jazz,Middle Tennessee State,1982,8,3,164
Keith Peterson,Dallas Mavericks,Arkansas,1982,8,4,165
Ed Nealy ,Kansas City Kings,Kansas State,1982,8,5,166
Dan Terwilliger,New York Knicks,Siena,1982,8,6,167
Mike Burns,Chicago Bulls,Nevada-Las Vegas,1982,8,7,168
Donald Reese,Indiana Pacers,Bradley,1982,8,8,169
Brian Nyenhuis,Detroit Pistons,Marquette,1982,8,9,170
Dave Porter,Portland Trail Blazers,Western Oregon,1982,8,10,171
James Ratiff,Atlanta Hawks,Howard,1982,8,11,172
Ken Luck,Washington Bullets,Delaware,1982,8,12,173
Otis Jackson,New Jersey Nets,Memphis,1982,8,13,174
Mark King,Golden State Warriors,Florida Southern,1982,8,14,175
Dan Callandrillo,Houston Rockets,Seton Hall,1982,8,15,176
Rick Elrod,Phoenix Suns,Georgetown (KY),1982,8,16,177
Donny Speer,Denver Nuggets,Alabama-Birmingham,1982,8,17,178
Chris Faggi,San Antonio Spurs,Memphis,1982,8,18,179
Steve Burks,Seattle SuperSonics,Washington,1982,8,19,180
Bryan Leonard,Milwaukee Bucks,Illinois,1982,8,20,181
Micah Blunt,Los Angeles Lakers,Tulane,1982,8,21,182
Donald Seals,Philadelphia 76ers,Jackson State,1982,8,22,183
Ed Spriggs,Boston Celtics,Georgetown,1982,8,23,184
Tony Hafley,Cleveland Cavaliers,South Alabama,1982,9,1,185
John Hegwood,San Diego Clippers,San Francisco,1982,9,2,186
Riley Clarida,Utah Jazz,Long Island-Brooklyn,1982,9,3,187
Ralph McPherson,Dallas Mavericks,Texas-Arlington,1982,9,4,188
Jack Moore,Kansas City Kings,Nebraska,1982,9,5,189
Merle Scott,New York Knicks,South Carolina State,1982,9,6,190
Skip Dillard,Chicago Bulls,DePaul,1982,9,7,191
Mike Scearce,Indiana Pacers,Purdue,1982,9,8,192
Kevin Smith,Detroit Pistons,Michigan State,1982,9,9,193
Pierre Bland,Atlanta Hawks,Elizabeth City State,1982,9,10,194
Mark Dearborn,Portland Trail Blazers,Saint Joseph's,1982,9,11,195
James Terry,Washington Bullets,Howard,1982,9,12,196
Gary Johnson,New Jersey Nets,Oral Roberts,1982,9,13,197
Nick Morken,Golden State Warriors,Tennessee,1982,9,14,198
Ken Lyles,Phoenix Suns,Washington,1982,9,15,199
Dean Sears,Denver Nuggets,California-Los Angeles,1982,9,16,200
Harry O'Brien,San Antonio Spurs,St. Mary's (TX),1982,9,17,201
Robert Tate,Milwaukee Bucks,Idaho State,1982,9,18,202
Tim Byrne,Los Angeles Lakers,Rutgers,1982,9,19,203
George Melton,Philadelphia 76ers,Cheyney,1982,9,20,204
Panayoti Giannakis,Boston Celtics,Hellenic,1982,9,21,205
Durand Walker,Cleveland Cavaliers,Indiana Wesleyan,1982,10,1,206
Daryl Stovall,San Diego Clippers,Creighton,1982,10,2,207
Michael Edwards,Utah Jazz,New Orleans,1982,10,3,208
Albert Culton,Dallas Mavericks,Texas-Arlington,1982,10,4,209
Robert Estes,Kansas City Kings,Iowa State,1982,10,5,210
John Leonard,New York Knicks,Manhattan,1982,10,6,211
